სახელი,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ალექსანდრა–ლილე,,,1,,,,,,,
ალექსანდრე,595,644,698,782,910,1017,1197,1294,1357,1458
ალექსანდრე   ალექსი,,,,,,,,1,,
ალექსანდრე   გოჩა,,,,,,,,1,,
ალექსანდრე   იაკობ,,,,1,,,,,,
ალექსანდრე  ანტონ,1,,,,,,,,,
ალექსანდრე  გეგა,,,,,,,,,,1
ალექსანდრე  გიორგი,,,,,,1,,,,
ალექსანდრე  დაგლას,,,,,,1,,,,
ალექსანდრე  ვილი,,,,,,1,,,,
ალექსანდრე  ნიკოლას,,,,,,,,,,1
ალექსანდრე  სანი,,,,,,,,,,1
ალექსანდრე აკო,,,,,,,,1,,
ალექსანდრე ანდრია,,,,,,1,1,,,
ალექსანდრე გაბრიელი,,,,,,1,1,,1,
ალექსანდრე გიორგი,,,,,,,1,,1,
ალექსანდრე დავითი,,,,1,,,,,,
ალექსანდრე დჰეიაა,,,,,,,,1,,
ალექსანდრე თარაშ,,,,,,,,,,1
ალექსანდრე თარაში,,,,1,,,,,,
ალექსანდრე ივანე,,,1,,,,,,,
ალექსანდრე იოანე,,,,,1,,,,,
ალექსანდრე კონსტანტინ,,,,,,1,,,,
ალექსანდრე ნიკოლოზ,,,,,,,1,,,1
ალექსანდრე ნოდიკო,,,,,,,1,,,
ალექსანდრე ნუკრი,,,,,,,,,1,
ალექსანდრე ობინნა,,,,1,,,,,,
ალექსანდრე საბა,,,,,,1,,,,
ალექსანდრე სანდრო,,,,,,1,,,,
ალექსანდრე სოსო,,,,,,,1,,,
ალექსანდრე სტეფანე,,,,,,1,,,,
ალექსანდრე ქართალ,,,,,,,,,1,
ალექსანდრე შივან,,,,1,,,,,,
ალექსანდრე ჯან,,,1,,,,,,,
ალექსანდრე ჯუნიორი,,,,,,,,,,1
ალექსანდრე.,,,,,,,,1,,
ალექსანდრე–გიორგი,,,1,,,,,,,
ალექსანდრე–იოანე,,,,1,,,,,,
ალექსანდრო,,,,,,,,1,,1
ალექსანდრო ბერკინ,,,,,,,1,,,
ალექსანდროს,2,1,,,,2,,,,1
ალექსანდრუ,,,,,,,,,,1
ალექსეი,3,2,3,1,1,2,1,3,,1
ალექსეი აზარ,,,,,,,,1,,
ალექსი,60,118,93,90,117,134,148,135,122,111
ალექსი  ტიტუანი,,,,,,1,,,,
ალექსიან,,,,1,,,,,,
ალექსის,,,,,,,,1,,
ალექსის რეი,,,,,1,,,,,
ალექსის ქაურ,,,,,,,,,,1
ალექსი–სანდრო,,1,,,,,,,,
ალექსნდრე,,,,,,1,,,,
ალექსქნდრე სანდრო,,,,,1,,,,,
ალექფერ,,,,,,,,1,,
ალეხან,,,,,1,,,,,
ალეხანდრო-გია,,,,1,,,,,,
ალეჯანდრო,,,,,,,,,1,
ალვან,1,,,,,,,,,
ალვანა,,,,,1,,,,,
ალვარდ,3,1,,5,1,3,1,1,1,2
ალვარტ,,1,,,,,,,,
ალვასია,,1,,,,,,,,
ალვი,,,1,,1,,1,,,
ალვინ ფემ,,,,,,,,1,,
ალვინა,4,1,1,1,3,5,3,2,2,3
ალთაი,,,5,3,1,2,4,,2,
ალთან,,,,1,,,,,,
ალთუნ,5,3,4,5,4,5,1,2,1,1
ალი,69,63,84,86,82,95,83,102,87,102
ალი – აქბარ,,1,,,,,,,,
ალი  მემედ,,,,,,,,,1,
ალი აიჰან,,,,1,,,,,,
ალი ალეკო,,,,,,,1,,,
ალი ალექსანდრე,,,,,,,,,1,
ალი ასხარი,,,,,,,1,,,
ალი ასხერ,,,,,,,1,,,
ალი აჰმედაბდულკარიმ,,,,,,,,,1,
ალი ეშრეფ,,,,,,,1,,,
ალი იმრან,,,,,,,,,,1
ალი იუსუფ,,,,,,,1,,,
ალი იჰსან,,,,,,,1,,,1
ალი კაან,,,,,,,,,,1
ალი ლუკა,,,,,,,,,1,
ალი ნაბილ ხაზალ ზამილი,,,,,,1,,,,
ალი ომარ,,,,,,1,,1,,
ალი ოსმან,,,,,1,,,,1,
ალი რასულ,,,,,,,,,,1
ალი რზა,,,,,,,,,,1
ალი რიზა,,,,,,,,,,1
ალი სედათ,,,,,,,1,,,
ალი სელიმ,,,,,,,,1,,
ალი ფუათ,,,,,,,1,,,
ალი ხალიდი,,1,,,,,,,,
ალი ჯან,,,,1,,,,,,
ალი ჰუსეინ,,,,,1,,,,,1
ალია,17,9,15,13,10,10,9,,12,9
ალია იაშამ,,,,,,,,,,1
ალიაკბარ,1,,,,,,,,,
ალიამილ,,,,,,,,1,,
ალიანა,,1,,,,,,1,1,
ალიანაზ,,,,,,,,1,,
ალიარ,2,,,1,1,,2,1,,1
ალიარდან,1,,,,,,,,,
ალიას,,,,1,,,,,,
ალიასა,1,,,,,,,,,
ალიასი,,,1,,,,,,,
ალიასკერ,,1,,,,,,,,
ალიასხარ,,,2,,,,,,,1
ალიაქბარ,,,,,,,,,,1
ალიაქბარი,,,,1,,,,,1,
ალიაქბერ,,,1,,,,,,,
ალიაქპერ,,1,2,,,,,,,
ალიაქფერ,,,,1,,,,,,
ალიაშრაფ,,,1,,,,,,,
ალიაჩბარ,1,,,,,,,,,
ალიბაბა,,1,,,,,,,,
ალიბაი,,,,,,,,,1,
ალიბაირამ,,,,,,,,,1,
ალიბალა,,,,1,,,1,1,,
ალიბეი,1,,,,,,,,,
ალიგერა,,,,,,,,1,,
ალი-გიორგი,,,1,,,,,,,
ალიგული,,,,,,1,,,,
ალიგულუ,1,,,,,,,,,
ალიდა,2,2,2,5,1,1,2,1,,1
ალიდე,,,,1,,,,1,,
ალიდურსუნ,,,,,,,,,,1
ალიე,2,1,,3,,,2,,1,1
ალივია,,,,,,,,,1,
ალიზადე,,,1,,,,,,,
ალიზამან,,,,,,,2,,,
ალიზამინ,,,,,,,,,,1
ალითახირ,,,,,,,,,1,
ალიია,,,,,,,,1,,
ალიიზა,,,,,,,1,,,
ალიიმა,,,,,,,,,1,
ალიინა,,,,,,,,,2,1
ალიისლამ,,,,,,1,,,,
ალიიუსიფ,,,,,,,,,,1
ალიიუსუფ,1,,,,,,,,,
ალიკ,4,6,7,3,5,5,5,7,2,3
ალიკა,21,31,25,7,8,15,6,6,12,1
ალიკი,1,,,,,,,,,
ალიკო,4,2,1,1,2,,1,,,1
ალიმ,2,3,5,2,4,4,10,9,3,6
ალიმა,1,1,1,,,,1,,1,
ალიმერთ,,,,,,,,1,,
ალიმეჰდი,,,,,,1,,,,
ალიმეჰტი,,,,,,,,1,,
ალიმი,,,,1,,1,,1,,
ალიმითათ,,,,,,,,1,,
ალიმხან,,,,,,,,,,1
ალინ,3,1,4,6,5,5,4,,5,2
ალინა,33,36,43,54,34,52,51,56,62,51
ალინა ელიზაბეთი,1,,,,,,,,,
ალინა–ნაჰიდე,,,1,,,,,,,
ალინი,,,,,,,1,,,
ალინურ,,,,,1,,,,,
ალიომარ,,,,,,,1,1,,
ალიონა,4,5,7,7,6,5,2,5,5,4
ალიოსმან,,,,,,,,,,1
ალიოშა,1,,,,1,,1,1,,
ალირეზა,,,,,,,,,1,
ალი-რენათ,,,,1,,,,,,
ალირზა,1,,3,,,,2,3,1,1
ალირომან,,,,,,1,,,,
ალის,,,,,,,,,1,
ალის ევა,,,,,,,,1,,
ალის თუანა,,,,,,,1,,,
ალისა,14,10,14,13,21,23,37,32,41,47
ალისა ნანა,,,,,,,1,,,
ალისა რეი,,,1,,,,,,,
ალისამედ,,,,1,,,,,,
ალისვაჰან,,,,,,1,,,,
ალისია,1,2,2,1,3,4,3,7,7,4
ალისკანდარ,,,,,,,,,1,
ალისლამ,,,,,,,,,,1
ალიუსიფ,,,,,,,,,,1
ალიფ,,,,,1,,,,,
ალიფათ,,,,,,,,,2,
ალიფაშა,,1,1,,,2,,2,,1
ალიფერრუჰ,,,,,,,,,,1
ალიფი,,,,,,,,,,1
ალიქ,1,1,,,2,,,2,1,
ალიქამალ,,,,1,,,,,,
ალიქს,,,,,,,,1,,
ალიშ,1,,,,,,,,,
ალიშან,4,4,7,2,3,3,2,2,2,3
ალიცია,,,,,,,,1,,
ალიძან,,,,,1,,1,,,
ალიხან,1,2,3,,2,1,3,5,,2
ალიხანდრო,,,1,,,,,,,
ალიხანი,,,,,,,,,,1
ალიხოჯა,,1,,,,,,,,
ალიჯან,2,2,1,,3,4,2,1,4,4
ალიჰან,,,1,,,,,,,2
ალიჰუსეინ,,,1,1,,,,1,,
ალლა,,4,4,,5,1,3,3,2,
ალლა ლილე,,,,,,,,,1,
ალლაზ,1,,1,,,,,,1,
ალლახვერდი,1,,1,1,,,2,3,,
ალლახვერტი,,,,,,,,1,,
ალლახიარ,1,,2,,1,,,,,
ალლაჰვერდი,,,1,,1,1,3,1,2,
ალლენ,,,,,,,,1,,
ალლი,,,,,,,,,1,
ალმა,,,1,1,,2,,,1,6
ალმა მირა,,,,,,,,,,1
ალმა ოდაია,,,,,,,,,,1
ალმა ხანუმ,,,,,,,,,1,
ალმაზ,2,,1,2,2,3,3,3,1,3
ალმაზე,,,,,,1,,,,
ალმამედ,,1,,1,,,1,,,
ალმამეთ,,,,,,,1,,,
ალმარდან,,,,,,1,,,,
ალმარი,,,,1,,,,,,
ალმასხან,,,,,1,,,,,
ალმასხანი,,,,,,1,,,,
ალმედა,,,,,1,,,,,
ალმეიდა,,,,,,,1,,,
ალმერი,,,,,,,,1,,
ალმეტა,,,,,1,,,,,
ალმილა,,,,,,,1,1,,
ალმილამ,,,,,,,,,,1
ალმინა,,2,2,1,2,1,,1,2,1
ალმირა,,,,,,,1,,1,1
ალნურა,,,,,,,1,,,
ალოისატ,,,,,,,1,,,
ალოლა,,,,,,,1,,,
ალონ,,,,,,,,,4,
ალონ ეიტან,,,,,,,1,,,
ალონ ემანუელ,,,,,,,1,,,
ალოსმან,,,,,,,,1,,
ალოშ,,,,1,,,1,,,
ალპ,,,,,,,,,,1
ალპასლან,,,1,,,,,,,
ალპერენ,,,,,1,,,,,
ალსუ,10,4,3,2,5,3,2,3,4,4
ალსუ თანემ,,,,,,,,,1,
ალტაი,,,1,,,,,,,
ალტან,,,,,,,,,,1
ალუა,,,,,,1,,,,
ალუდა,2,,1,1,3,1,1,2,4,3
ალუმა რივკა,,,,,,,1,,,
ალუშკა,,1,,,,,,,,
ალფ გაბრიელ,,,,,,,,,,1
ალფაი,,,,3,,,,,,
ალფერ,,,,,,,,,,2
ალფერა,,,,,,1,,,,
ალფერე,,,,,,1,,,,
ალფერენ ბორან,,,,,,,1,,,
ალფია,1,,1,,,,,,,
ალფინა,,,,1,,,,,,
ალფრედი,,,,,,1,,,,
ალფრედო,,,,,,,1,,,
ალქან,1,,,,,,,,,
ალქსანდრე,,,,1,,,,,,
ალყასიმ,,1,,,,,,,,
ალშან,2,,,,,1,,1,1,
ალცბექ,1,,,,,,,,,
ალხაზ,,1,,,,,,,,
ალხან,2,2,,1,1,1,,2,3,
ალხანა,,,,,,,1,,,
ალჯან,,,,,1,1,,,,
ამაგა მელისსა,,,,,,,1,,,
ამადეი,,,,,,,1,,,
ამადეო,1,,,,,,,,,
ამადინა,,,,1,,,,,,
ამაელ,,,,,,,1,,,
ამაიაკ,1,1,,,,,1,,1,
ამაილ,,,,1,,,,,,
ამალ,,,1,3,,,1,,2,
ამალი,1,,,,,,,,,
ამალია,5,5,9,4,,2,5,7,7,9
ამან,,,,2,,,1,1,,
ამან სოფია,,,,,,1,,,,
ამანდა,1,3,2,3,7,6,4,4,2,7
ამანდა ლილი,,,,,,,,1,,
ამარ,1,,,,,,1,,1,
ამატუნ,,,,,,,1,,,
ამბაკო,,1,,,1,,,,,
ამბარ,,,,,,,1,,,
ამბარცუმ,,,,,,,,1,,
ამბერკი,1,,,,1,,,,,
ამბროსი,,1,3,1,1,,,,,
ამელი,,,,,,2,1,2,3,3
ამელი კატერინ,,,,1,,,,,,
ამელია,1,1,2,,1,1,1,2,2,5
ამელია ამალ,,,,,,,,1,,
ამელია მარიამ,,,,,,,,,,1
ამელია მეი,,,,,,,,,,1
ამელია სოფია,,,,,1,,,,,
ამელინა,,,,,,1,,,1,
ამერან,,,,,,,,,1,
ამერანი,,,,1,,,,,,
ამია,,,,1,,,,,,
ამიგო,,,,,,,,1,,
ამიდ,,1,2,1,3,,1,2,1,
ამიდა,,,,1,,,,,,
ამით,,,,1,1,2,,,,
ამიინ,,1,,,1,,3,,1,
ამიინა,1,,,1,2,,1,2,1,1
ამიინათ,,,,,,,,,1,
ამიირ,,,,,,1,,,1,1
ამიირა,,,,,,,,,,2
ამიკა,,,,,,,,,,1
ამიკო,9,11,6,17,12,15,18,15,6,13
ამილ,32,34,31,23,22,12,21,12,7,13
ამილ ჯან,,,,,,1,,,,
ამილა,1,1,3,1,,1,,,,
ამილი,,,,,,1,,1,1,1
ამილხან,,1,,,,,,,,
ამინ,17,15,16,20,19,25,24,26,25,20
ამინა,18,18,19,10,9,20,13,12,15,20
ამინათ,,,,,,,,,,2
ამინატ,,,,,,1,,,,
ამინე,1,,,,,1,1,,1,1
ამინი,,,,1,,,,,,
ამირ,5,1,1,8,4,10,5,15,15,17
ამირ  დავიდ,,,,,,1,,,,
ამირ  სეფეჰრი,,,,,,,1,,,
ამირა,,1,,,1,,3,2,1,2
ამირალ,,1,,,,,,,,
ამირალი,,,,,1,,,,,
ამირან,70,68,70,57,47,37,32,28,31,22
ამირან საბა,,,1,,,,,,,
ამირანი,32,37,34,29,23,29,35,23,21,12
ამირასლან,2,1,2,,,1,,3,1,
ამირახ,,1,,,,,,1,,
ამირახმედ,,,,,1,,,,,
ამირაჰ,,,1,,,,,,,
ამირი,1,,,,,,,,1,1
ამირიდონი,,,,,,,,,,1
ამირინდო,,1,,,,,,,,
ამირო,,,,,,,,,,1
ამირხან,3,4,3,4,4,2,5,5,1,1
ამირხანა,1,,,,,,,,,
ამირხანი,1,,,,,,,,,
ამირჯან,,,,,,,1,,,
ამის,,,,,,,,,1,
ამიტ,,,,,,,,,2,
ამიტა,,,,,,,,,1,
ამიქ,,1,,,,,,,,
ამლეტ,,,1,,,,,1,,
ამმა,,,,,,,,1,,
ამმარ,,,,,,1,2,,,
ამმიტოჯ სინგჰ,,,,,,,,,,1
ამორ ზიკრ,,,,,,,,,1,
ამრ,,,,,,,,,1,
ამრა,,,,1,1,,,,,
ამრასტან,,,,,1,,,,,
ამრახ,,3,1,1,2,,2,,,
ამრახა,1,,,,,,,,,
ამრახალი,,,,,1,,,,,
ამრაჰ,,,,,,,,2,,
ამრიკო,1,,,,,,,,,
ამროსი,,,1,,,,,,,
ამურ,,,,,1,,,,,
ამური,1,,1,,,,,,,
ამშარი,,,,,,,,,1,
ამჯან,,,1,,,,,,,
ან   მარი,,,,,,,,,1,
ანა,1193,1312,1125,1036,914,945,889,771,711,613
ანა    სოფია,,,,,1,,,,,
ანა   ანიტა,,,,,,,,,,1
ანა   მარია,,,,,,,,,,1
ანა  ანასტასია,,,,,,1,,,,
ანა  ვიქტორია,,,,,,1,,,,
ანა  მარია,1,1,,2,1,,3,1,1,1
ანა – მარია,6,6,,,,,,,,
ანა  მერიემ,,,,,1,,,,,
ანა  მია,,,,,,,1,,,
ანა  სოფი,1,,,,,,,,,
ანა  სოფია,,,,,,,,1,,
ანა ამანდა,,,,,,,,1,,
ანა ანიკა,,,,1,,,,,,
ანა ანიტა,,,,,,,,,,1
ანა ბარბარა,,,,1,,,,,,
ანა ბარბარე,,,,1,,,,,,
ანა ბეატრის,,,,,1,,,,,
ანა ვიქტორია,,,,,,,1,,,
ანა ზარა,,,,,,,,1,,
ანა კატერინა,,,,,,1,,,,
ანა ლაილა,,,,,,,,,1,
ანა ლილე,,1,,,,,,,,
ანა ლუიზ,,,,,,1,,,,
ანა მარი,1,,,1,,1,,,,1
ანა მარია,17,17,41,29,23,55,41,12,29,7
ანა -მარია,,1,,1,,,,,,
ანა –მარია,1,1,,,,,,,,
ანა- მარია,1,,,,,,,,,
ანა– მარია,1,1,,,,,,,,
ანა მარიამი,,,,,,1,,1,,
ანა– მარიამი,,1,,,,,,,,
ანა სინგჰ,,,,,,,1,,,
ანა სოფი,,1,,,,,,,,
ანა სოფია,,,,3,1,3,3,3,1,
ანა უმმიე,,,,,,,1,,,
ანა ფილიპა,,,,,,,,,,1
ანა ხანუმ,,,,,,,,,,1
ანა_მარია,,,2,,1,1,,,,
ანაას,,,,,,,,,1,
ანა-ბარბარე,,1,,,,,,,,
ანაბელ,3,1,,2,,2,3,9,11,24
ანაბელა,1,1,,3,1,1,3,1,1,2
ანაბელი,4,1,,,2,2,2,10,29,26
ანადეა,,2,3,,2,1,,,,
ანაელ ლიორ,,,,,,,,1,,
ანაელი,,,,,,,,1,,
ანაიდ,3,2,4,3,,,1,1,,1
ანაიდა,2,2,,2,4,2,1,3,1,1
ანაის,,,,,,,,2,,
ანაიტ,1,,3,1,3,1,2,2,1,1
ანაიტა,,,,,,,,,1,
ანა–კატერინა,,1,,,,,,,,
ანალია,,1,3,1,1,1,1,,,
ანალიზა,,,,,,,,,,1
ანალუსი,,,,,,,,,,1
ანა–ლუსი,,,1,,,,,,,
ანალუსია,,,,,,,,2,,
ანამარი,,1,1,,1,3,1,2,2,
ანა–მარი,,2,,,,,,,,
ანამარია,63,116,211,322,363,415,474,475,393,319
ანა-მარია,19,7,6,11,11,5,1,,2,3
ანა–მარია,39,42,28,18,4,,,,,
ანამარია ლამარია,,,,,,,,,,1
ანამარია ფერიდე,,,,,,,1,,,
ანამარიამ,1,,,,,,1,,,
ანა-მარიამ,,1,,,,,,,,
ანა–მარიამ,,1,,,,,,,,
ანამარიამი,,,,,1,,1,,,
ანა–მარიამი,,,1,,,,,,,
ანანა,,,,,,,,1,,
ანანაო,,,,1,,,,,,
ანანდა,,,,,,,,1,,
ანანდი,,,,,,,,,1,
ანანი,,,,,,,,,2,
ანანია,1,,,2,,1,1,1,,
ანანიკო,1,,,,,,,,,
ანანო,791,883,640,456,359,353,300,293,232,170
ანანო ანჟელა,,,,,,,,,1,
ანარ,15,11,20,9,15,7,14,10,4,2
ანარა,,1,1,,,,,,,1
ანარი,2,1,,1,,1,1,,,2
ანაროზა,,,,,,1,,,,
ანას,,,,,,2,,,10,3
ანასი,,,,,,,,,,1
ანასია,,,,,,,,1,,
ანასოფია,,,,1,6,4,1,4,4,1
ანა-სოფია,,,,,1,,,1,,1
ანა–სოფია,,,,1,,,,,,
ანასტას,,1,,1,,,,,,
ანასტასი,,,,,,1,,,,
ანასტასია,542,754,1722,1568,1823,1880,1879,1664,1449,1279
ანასტასია  ანა,,1,,,,,,,,
ანასტასია  იბრაჰიმ,,,,,,,,,1,
ანასტასია  ჯ,,,,,,1,,,,
ანასტასია დერინ,,,,,1,,,,,
ანასტასია ელიზა,,,,,,,,,,1
ანასტასია ელიზაბეტ,,,,,,1,,,,
ანასტასია ელმას,,,,,,,,1,,
ანასტასია ვივიენ,,,,,,1,,,,
ანასტასია თეკლა,,,,,,1,,,,
ანასტასია იოანნა,,,,,,,1,,,
ანასტასია ლინდა,,,,,,1,,,,
ანასტასია ლუცია,,,,,,,1,,,
ანასტასია ნიცა,,,,,,1,,,,
ანასტასია როუზ,,,,,1,,,,,
ანასტასია ტასო,,,,,,,,1,,1
ანასტასია ტატა,,,,,,,,,,1
ანასტასია ჩიდიმმა,,,,,,1,,,,
ანასტასია–ადა,,,,,,,1,,,
ანასტასია–ანიკა,1,,,,,,,,,
ანასტასია–ანნა,1,,,,,,,,,
ანასტასია–ნიტა,1,,,,,,,,,
ანატასია,,,,,1,,,,,
ანატოლი,1,2,1,1,,1,4,1,,3
ანახანუმ,1,,1,2,3,2,1,2,1,1
ანაჰიდ,,,,1,,,,,,
ანაჰიდა,,,,,,,1,,,
ანაჰიტ,12,18,13,10,9,9,11,10,12,6
ანაჰიტა,,,,,1,,,,,
ანბარ,,,,,,1,,,,
ანგელა,,,1,,1,,,,,
ანგელი,,,,,,,,1,,
ანგელიკა,1,,,,,,,,,
ანგელინა,7,14,10,15,14,20,10,9,22,25
ანგელიტა,1,,,,,,,,,
ანგი,,,1,,,,,,,
ანგინე,,,,,,,1,,,
ანგრივი ჯუსლინი,,,1,,,,,,,
ანდი,,1,,,,,,,,
ანდია,,,,,,,1,,,
ანდრანიკ,10,7,14,9,6,8,4,3,8,6
ანდრე,1,1,6,5,4,4,4,3,7,14
ანდრეა,15,21,45,59,45,39,68,52,60,43
ანდრეა ადამ,,,,,,,,,1,
ანდრეანე,,,1,,,,,,1,
ანდრეანნა,,,,,1,,,,,
ანდრეას,1,1,,2,,,,3,,1
ანდრეას თორ ლუკას,,,,,1,,,,,
